Designator,Comment,Value,Footprint,JLCPCB Part #
J1,,,,C131337
F1,,,,C3105
D1,,,,C353386
Q1,,,,C15127
R1,100k,100k,,C25803
D3,,,,C12772
U1,,,,C2879422
L2,,,,C177246
D2,,,,C22452
R2,100k,100k,,C25803
R3,100k,100k,,C23198
R4,24.9k,24.9k,,C25804
C4,22µ,22µ,,C45783
C5,22µ,22µ,,C45783
C6,100n,100n,,C14663
C7,100n,100n,,C14663
C17,1µ,1µ,,C15849
C18,100n,100n,,C14663
C1,22µ,22µ,,C309062
C2,22µ,22µ,,C309062
C3,100n,100n,,C14663
F2,,,,C883135
C8,10µ,10µ,,C19702
U2,,,,C337496
R5,4.7k,4.7k,,C23162
R6,4.7k,4.7k,,C23162
R7,4.7k,4.7k,,C23162
R8,4.7k,4.7k,,C23162
U3,,,,C37593
C9,100n,100n,,C14663
C10,1µ,1µ,,C15849
D4,,,,C916421
D5,,,,C916421
D6,,,,C916421
D7,,,,C916421
R9,1k,1k,,C21190
R10,1k,1k,,C21190
R11,1k,1k,,C21190
R12,1k,1k,,C21190
C11,100n,100n,,C14663
C12,100n,100n,,C14663
C13,100n,100n,,C14663
C14,100n,100n,,C14663
U4,,,,C83291
C15,100n,100n,,C14663
U5,,,,C107410
BT1,,,,C964721
C16,100n,100n,,C14663
J2,,,,C131339
J3,,,,C131339
J4,,,,C131339
J5,,,,C131339
H2,,,,
