Designator,Mid X,Mid Y,Layer,Rotation
J1,-17.000,11.000,bottom,0
F1,-14.500,7.000,top,0
D1,-13.400,13.700,top,0
Q1,-10.000,9.600,top,0
R1,-10.500,5.500,top,0
D3,-7.000,6.000,top,0
U1,-2.000,12.500,top,270
L2,6.800,14.000,top,0
D2,7.000,7.500,top,0
R2,-2.000,7.000,top,0
R3,4.700,9.800,top,0
R4,1.000,7.200,top,0
C4,-6.900,13.100,top,90
C5,11.800,14.000,top,0
C21,9.200,16.500,top,0
C6,-6.500,8.500,top,180
C7,12.400,17.000,top,0
C17,3.600,11.500,top,0
C18,2.800,13.770,top,90
C1,-3.600,18.300,top,90
C2,-7.100,16.500,top,180
F2,6.000,5.000,top,0
C8,10.000,10.000,top,0
U2,-1.500,-8.000,top,0
R5,-9.500,-13.500,top,90
R6,-4.400,-13.000,top,0
R7,-1.400,-13.800,top,0
R8,1.800,-14.000,top,0
C19,-0.350,-12.000,top,0
C20,-2.650,-3.800,top,180
U3,5.100,-10.000,top,0
C9,7.700,-10.000,top,270
C10,9.700,-10.000,top,270
D4,2.000,-1.400,top,0
D5,5.600,-0.800,top,0
D6,9.300,-1.400,top,0
D7,17.000,-3.500,top,0
R9,2.200,1.500,top,0
R10,5.600,1.900,top,0
R11,9.300,2.100,top,0
R12,16.800,0.500,top,0
C11,2.500,-5.900,top,0
C12,5.600,-5.200,top,0
C13,9.300,-5.900,top,0
C14,16.500,-6.000,top,0
U4,15.000,12.800,top,0
C15,15.000,15.500,top,180
U5,-11.500,-5.000,top,0
BT1,13.200,-0.500,top,90
C16,-12.200,-10.500,top,270
J2,-17.000,-9.000,bottom,0
J3,-8.000,18.800,bottom,0
J4,5.500,18.800,bottom,0
J5,18.000,4.000,bottom,180
H2,0.000,-18.680,top,0
TP_12V_RAW,-10.000,3.500,top,0
TP_12V_PROT,-7.000,3.500,top,0
TP_BUCK_5V,-4.000,5.000,top,0
TP_VBUS,-1.000,5.000,top,0
TP_SENSOR_5V,9.500,5.500,top,0
TP_3V3,11.000,4.500,top,0
TP_GND,-1.000,1.000,top,0
TP_SDA_3V3,-9.000,-11.500,top,0
TP_SCL_3V3,-7.000,-11.500,top,0
TP_SDA_5V,-5.000,-11.500,top,0
TP_SCL_5V,-3.000,-11.500,top,0
TP_A0,1.800,3.300,top,0
TP_A1,4.400,3.300,top,0
TP_A2,9.000,4.200,top,0
TP_A3,16.500,-8.000,top,0
TP_U0RX,-1.270,-15.400,top,0
TP_U0TX,1.270,-15.400,top,0
TP_GPIO16,8.890,-15.400,top,0
